课程大类,课程类别,最低门数,最少学分,课程编号,课程中文名称,学时,学分
核心课,公共必修课 1,3,,3311100704,自然辩证法概论,16,1
核心课,公共必修课 1,3,,3321101666,新时代中国特色社会主义理论与实践,32,2
核心课,公共必修课 1,3,,3321101882,科研诚信与学术规范（MOOC）,16,1
核心课,公共必修课 2,1,,3121101520,研究生英语,32,2
核心课,公共必修课 2,1,,3311101694,研究生英语国际学术交流,32,2
核心课,公共必修课 2,1,,3311101696,研究生英语科技读译与科技传播,32,2
核心课,公共必修课 2,1,,3311101699,研究生英语跨文化职场交流,32,2
核心课,公共必修课 2,1,,3311101712,研究生英语学术阅读与写作,32,2
核心课,基础理论课,2,,3131100148,高级数理逻辑,48,3
核心课,基础理论课,2,,3131100279,近世代数及其应用,48,3
核心课,基础理论课,2,,3131100605,信息科学原理,32,2
核心课,基础理论课,2,,3411100004,概率论与随机过程,48,3
核心课,基础理论课,2,,3411100473,图论及其应用,48,3
核心课,基础理论课,2,,3411101149,最优化理论与算法,48,3
核心课,核心专业课,2,,3131101521,大数据分析与挖掘,32,2
核心课,核心专业课,2,,3131101532,面向对象的分析与设计,32,2
核心课,核心专业课,2,,3131101538,软件工程研究方法,32,2
核心课,核心专业课,2,,3131101539,软件过程管理,32,2
核心课,核心专业课,2,,3131101551,移动计算与人工智能,32,2
核心课,核心专业课,2,,3151100996,软件工程化,32,2
核心课,核心专业课,2,,3151101069,软件开发项目管理（MOOC）,32,2
核心课,核心专业课,2,,3711100386,软件体系结构,32,2
核心课,学科交叉课,1,,3131101531,跨媒体推荐系统前沿,32,2
核心课,学科交叉课,1,,3131101534,汽车智能网联技术,32,2
核心课,学科交叉课,1,,3131101553,智慧医疗发展前沿,32,2
核心课,学科交叉课,1,,3131102214,量子智能计算,32,2
选修课,专业实验课,1,,3131102248,软件测试实验,32,2
选修课,专业实验课,1,,3131102315,现代软件开发方法实验,32,2
选修课,专业实验课,1,,3131102334,需求工程实验,32,2
选修课,专业实验课,1,,3131102356,智能信息处理实验,32,2
选修课,专业选修课,2,,3131100005,高级计算机网络技术,32,2
选修课,专业选修课,2,,3131100353,嵌入式系统,32,2
选修课,专业选修课,2,,3131101089,高性能计算,32,2
选修课,专业选修课,2,,3131101503,软件产品用户体验设计,32,2
选修课,专业选修课,2,,3131101526,高级算法分析与设计,32,2
选修课,专业选修课,2,,3131101536,区块链技术原理,32,2
选修课,专业选修课,2,,3131102255,生成式人工智能技术与应用,32,2
选修课,专业选修课,2,,3131102332,信息与网络软件安全,32,2
选修课,专业选修课,2,,3151100852,软件测试技术,32,2
选修课,专业选修课,2,,3151100868,软件确保,32,2
选修课,专业选修课,2,,3151101004,数据库系统设计与开发,34,2
选修课,专业选修课,2,,3151101010,通信软件开发技术,32,2
选修课,公共选修课,1,,,课程清单详见“北京邮电大学 2024 版公共选修课清单”,,
必修环节,必修环节,2,,2031100021,学术活动,16,1
必修环节,必修环节,2,,2031101867,综合素质实践,16,1
学位论文,学位论文,1,,2031101134,硕士学位论文,0,6
